policy_id,date,policy_type,region,channel,premium_amount,claim_amount,csat_score,nps_score,fcr_flag,ticket_resolution_hrs,loss_ratio
3898,2023-02-03,Life,West,Agent,18544.88,9324.08,2.5,54,0,48.9,0.503
3899,2023-01-29,Home,East,Partner,8712.38,625.31,3.2,-64,0,20.6,0.072
3900,2023-03-26,Home,North,Direct,11922.74,5099.09,3.9,40,1,7.9,0.428
3901,2023-01-24,Travel,North,Agent,8407.64,1175.14,2.8,22,0,5.7,0.14
3902,2023-05-24,Travel,West,Direct,6379.03,871.77,4.7,87,1,116.0,0.137
3903,2023-09-26,Travel,South,Direct,8510.33,780.54,5.0,-33,1,6.2,0.092
3904,2023-07-03,Health,South,Agent,17275.09,3115.08,4.1,-52,1,41.6,0.18
3905,2023-06-14,Life,North,Agent,9452.63,4726.69,4.4,-98,1,18.6,0.5
3906,2023-08-08,Home,North,Direct,6308.35,1153.58,4.8,10,1,8.9,0.183
3907,2023-11-08,Auto,East,Direct,7207.05,2592.41,4.6,13,1,45.4,0.36
3908,2023-11-20,Health,West,Agent,15586.37,809.53,4.5,64,0,26.8,0.052
3909,2023-02-22,Auto,West,Agent,13680.48,5457.16,4.0,62,1,53.3,0.399
3910,2023-04-20,Life,East,Direct,8076.23,1578.13,4.4,21,0,22.9,0.195
3911,2023-03-23,Travel,North,Partner,15404.23,4519.2,3.7,-85,1,2.4,0.293
3912,2023-12-04,Life,West,Direct,5572.27,1015.34,4.8,74,1,66.0,0.182
3913,2023-08-22,Travel,South,Direct,7044.06,956.44,3.3,-39,0,8.3,0.136
3914,2023-10-06,Life,East,Partner,9355.94,417.97,2.9,-32,1,20.8,0.045
3915,2023-04-16,Travel,West,Partner,17304.65,5816.73,4.1,50,0,26.4,0.336
3916,2023-01-10,Auto,North,Direct,7536.99,1914.25,4.6,-43,1,37.4,0.254
3917,2023-07-16,Life,South,Partner,6049.29,2259.79,3.4,90,0,0.8,0.374
3918,2023-10-30,Auto,East,Agent,6741.85,1921.72,4.9,12,1,61.1,0.285
3919,2023-12-08,Health,East,Direct,39111.42,11518.2,4.4,34,0,25.9,0.294
3920,2023-11-21,Health,North,Direct,20749.7,17971.370939787746,4.5,94,0,1.7,0.866
3921,2023-06-28,Life,South,Direct,20524.74,4547.38,4.4,11,1,3.6,0.222
3922,2023-11-05,Life,North,Agent,3348.46,237.53,2.9,46,1,11.7,0.071
3923,2023-11-19,Health,South,Direct,14226.01,2942.17,3.8,76,0,48.5,0.207
3924,2023-04-26,Health,South,Direct,13360.15,1113.0,4.6,-98,1,8.3,0.083
3925,2023-10-02,Auto,North,Agent,17226.09,1783.75,4.2,23,1,44.4,0.104
3926,2023-02-09,Auto,West,Direct,5651.82,806.66,4.3,-94,1,1.9,0.143
3927,2023-02-19,Health,South,Partner,11552.39,2597.42,4.1,-76,0,8.4,0.225
3928,2023-01-11,Life,South,Direct,4519.81,1386.53,3.1,30,0,80.2,0.307
3929,2023-01-02,Home,East,Partner,12462.87,2934.34,4.4,-45,1,28.6,0.235
3930,2023-04-06,Travel,West,Direct,30832.82,3409.02,4.5,-42,1,20.2,0.111
3931,2023-10-09,Travel,North,Partner,3670.95,101.99,3.7,8,1,16.3,0.028
3932,2023-11-04,Travel,South,Direct,11153.82,2358.61,3.2,-15,1,0.4,0.211
3933,2023-04-08,Travel,South,Direct,12230.6,2277.42,3.0,-64,1,72.5,0.186
3934,2023-08-20,Auto,North,Agent,18320.09,2306.71,3.7,14,0,9.4,0.126
3935,2023-12-27,Auto,West,Partner,6706.8,755.61,3.2,-69,0,9.5,0.113
3936,2023-07-08,Travel,South,Direct,8427.94,1186.82,5.0,78,0,0.6,0.141
3937,2023-11-07,Health,West,Agent,4413.46,989.37,3.3,84,1,10.6,0.224
3938,2023-04-23,Health,South,Agent,8026.37,1185.06,4.1,21,1,1.8,0.148
3939,2023-07-29,Auto,North,Agent,9847.93,1131.59,2.7,-4,1,59.4,0.115
3940,2023-02-23,Health,West,Agent,14310.72,2819.27,4.3,31,1,1.2,0.197
3941,2023-12-09,Life,East,Agent,8723.54,3425.62,4.3,89,1,24.8,0.393
3942,2023-01-15,Health,South,Direct,30063.98,2736.86,3.0,67,1,7.3,0.091
3943,2023-12-09,Health,South,Direct,3549.46,607.62,4.8,48,1,8.0,0.171
3944,2023-10-24,Travel,South,Direct,10373.43,1376.25,4.2,79,1,32.3,0.133
3945,2023-03-21,Life,South,Direct,11306.18,752.39,4.3,59,0,17.7,0.067
3946,2023-04-23,Travel,East,Agent,22497.96,5762.92,4.0,-77,0,9.6,0.256
3947,2023-03-10,Auto,South,Direct,12273.46,554.11,3.5,-5,0,7.5,0.045
3948,2023-01-26,Auto,West,Direct,13902.0,2811.71,4.9,78,1,26.2,0.202
3949,2023-02-18,Travel,East,Agent,11159.93,1750.39,3.1,-40,0,4.7,0.157
3950,2023-11-02,Health,West,Direct,6976.08,1125.46,4.5,86,1,25.5,0.161
3951,2023-02-16,Life,North,Agent,20133.17,3169.99,4.3,47,0,8.9,0.157
3952,2023-12-18,Health,West,Direct,6105.8,1438.92,3.9,20,1,31.9,0.236
3953,2023-11-09,Health,West,Direct,17360.72,3573.7,3.8,-77,1,61.5,0.206
3954,2023-02-01,Auto,West,Direct,17583.18,2089.21,5.0,92,1,14.8,0.119
3955,2023-04-04,Travel,South,Direct,13985.79,2751.19,3.4,66,0,32.2,0.197
3956,2023-07-20,Auto,North,Direct,8025.86,2001.92,4.5,72,1,14.9,0.249
3957,2023-04-14,Auto,North,Direct,9477.18,4681.36,4.0,52,1,0.3,0.494
3958,2023-01-22,Home,East,Direct,4927.0,964.32,4.4,-40,1,16.3,0.196
3959,2023-09-07,Health,North,Partner,6253.5,1292.77,4.2,-76,1,35.6,0.207
3960,2023-08-22,Travel,East,Direct,12544.96,4939.71,3.7,-12,1,22.2,0.394
3961,2023-10-22,Health,South,Direct,20347.57,371.54,3.8,57,1,10.4,0.018
3962,2023-08-20,Travel,West,Partner,9393.43,1754.92,4.1,77,1,51.7,0.187
3963,2023-11-08,Auto,South,Partner,13290.86,1871.3,4.7,-43,1,11.9,0.141
3964,2023-01-09,Life,West,Agent,28915.69,8987.48,3.7,-53,1,39.1,0.311
3965,2023-06-11,Life,South,Direct,4869.59,599.39,3.7,15,1,41.2,0.123
3966,2023-05-20,Health,South,Agent,20128.75,3283.14,4.3,29,0,4.8,0.163
3967,2023-06-02,Life,North,Direct,17588.09,2534.06,4.6,-19,1,0.1,0.144
3968,2023-07-16,Life,South,Direct,4192.47,977.48,3.8,-55,1,7.2,0.233
3969,2023-01-20,Life,South,Direct,5395.52,2002.12,3.9,87,1,11.4,0.371
3970,2023-02-23,Home,North,Agent,17886.71,2594.53,4.2,-21,1,40.9,0.145
3971,2023-07-03,Auto,West,Direct,17505.73,5655.38,4.7,-15,0,11.8,0.323
3972,2023-09-22,Life,South,Direct,18718.38,561.0,4.2,-81,1,57.1,0.03
3973,2023-11-08,Home,West,Direct,19624.1,1419.64,4.1,-40,1,63.1,0.072
3974,2023-06-14,Life,East,Partner,7910.88,1563.35,4.2,-21,1,4.7,0.198
3975,2023-01-02,Travel,North,Direct,12629.57,380.06,4.0,92,1,42.7,0.03
3976,2023-05-22,Health,East,Partner,32001.84,2222.15,4.3,-71,0,11.4,0.069
3977,2023-07-19,Health,East,Agent,13671.67,3663.76,3.3,-82,1,19.8,0.268
3978,2023-08-10,Auto,South,Direct,2921.03,578.84,5.0,25,1,16.1,0.198
3979,2023-12-19,Health,West,Direct,12342.56,1882.44,4.3,88,1,27.2,0.153
3980,2023-02-22,Travel,North,Agent,7672.49,926.37,5.0,49,1,19.1,0.121
3981,2023-03-14,Auto,East,Direct,20818.42,4895.31,4.0,77,1,50.4,0.235
3982,2023-09-03,Life,West,Direct,16508.53,4908.21,3.9,9,1,115.8,0.297
3983,2023-05-12,Life,North,Direct,32729.25,6843.86,5.0,-5,1,8.1,0.209
3984,2023-03-26,Home,East,Direct,13029.81,1698.7,3.4,34,1,13.1,0.13
3985,2023-06-30,Travel,North,Agent,16731.48,5640.75,4.1,-83,1,0.0,0.337
3986,2023-11-25,Health,South,Agent,10779.22,2260.43,4.3,-79,1,4.5,0.21
3987,2023-06-29,Health,South,Direct,11637.3,463.84,4.2,-24,1,17.7,0.04
3988,2023-01-23,Life,East,Partner,12085.78,993.82,3.1,-23,1,12.3,0.082
3989,2023-11-18,Travel,East,Agent,15089.33,2750.66,4.0,47,0,10.8,0.182
3990,2023-08-31,Travel,West,Direct,12158.85,2716.39,5.0,96,1,10.0,0.223
3991,2023-12-04,Auto,West,Direct,6608.95,727.76,4.0,-51,1,15.4,0.11
3992,2023-04-21,Health,North,Agent,5917.12,998.58,4.5,-35,1,12.0,0.169
3993,2023-12-26,Home,North,Agent,16359.3,5555.69,4.8,-16,1,3.5,0.34
3994,2023-08-16,Home,West,Direct,11437.19,2364.67,4.1,100,1,74.5,0.207
3995,2023-05-31,Health,South,Partner,11954.38,2798.85,4.0,27,1,12.3,0.234
3996,2023-03-30,Auto,West,Direct,9221.04,2201.5,5.0,19,0,38.9,0.239
3997,2023-11-29,Auto,North,Direct,7381.57,572.78,3.6,87,1,8.6,0.078
3998,2023-05-20,Health,West,Partner,7659.93,688.49,4.7,-51,1,60.8,0.09
3999,2023-03-10,Health,North,Agent,26648.87,9077.57,5.0,-67,1,1.6,0.341
4000,2023-01-31,Home,North,Partner,4918.72,209.21,5.0,58,0,6.3,0.043
4001,2023-05-25,Travel,West,Partner,49647.75,16262.03,3.0,55,0,10.3,0.328
4002,2023-08-10,Health,West,Direct,7972.07,3239.35,3.7,35,0,21.5,0.406
4003,2023-09-14,Health,East,Direct,7681.2,1406.63,3.8,-21,1,24.5,0.183
4004,2023-04-03,Life,South,Partner,13259.46,1810.62,4.6,-15,1,26.3,0.137
4005,2023-04-27,Health,West,Direct,11688.82,5134.09,4.0,-13,1,18.4,0.439
4006,2023-05-25,Auto,West,Direct,11433.7,1371.91,4.6,-74,1,20.6,0.12
4007,2023-12-01,Home,East,Direct,18320.55,3349.1,4.9,14,0,37.4,0.183
4008,2023-08-04,Life,South,Direct,7137.95,1147.39,4.5,-72,1,0.3,0.161
4009,2023-06-13,Auto,South,Direct,11656.44,766.17,4.0,-23,0,23.7,0.066
4010,2023-08-04,Travel,West,Direct,4160.53,41.96,4.3,-60,1,6.1,0.01
4011,2023-01-12,Home,North,Agent,31843.51,5247.81,5.0,47,1,6.6,0.165
4012,2023-03-24,Auto,South,Direct,10214.74,8982.360065378096,3.8,-37,1,23.5,0.879
4013,2023-10-25,Health,South,Direct,15947.16,1296.31,5.0,-71,0,9.7,0.081
4014,2023-10-10,Life,East,Direct,3945.76,724.78,3.3,73,1,13.4,0.184
4015,2023-08-12,Health,West,Partner,8709.94,2137.58,5.0,-28,1,11.9,0.245
4016,2023-11-17,Life,South,Direct,6058.02,818.49,4.8,100,0,45.0,0.135
4017,2023-08-06,Travel,South,Direct,14677.73,22471.71193441129,3.7,-65,1,13.5,1.531
4018,2023-08-26,Health,West,Direct,6908.76,1030.52,2.9,-16,0,1.7,0.149
4019,2023-09-11,Health,North,Agent,12905.21,2819.04,3.9,47,1,1.9,0.218
4020,2023-09-14,Home,West,Agent,4552.53,387.82,4.2,77,0,8.7,0.085
4021,2023-03-10,Auto,West,Agent,7172.88,637.69,3.8,-62,1,26.7,0.089
4022,2023-10-12,Auto,East,Direct,13324.22,3477.88,3.9,-13,1,6.6,0.261
4023,2023-04-30,Health,East,Direct,8878.65,2453.3,4.0,8,1,7.3,0.276
4024,2023-12-10,Auto,South,Direct,11751.95,2496.61,4.4,-68,1,2.4,0.212
4025,2023-10-06,Auto,North,Agent,5098.78,899.81,4.2,-68,1,33.3,0.176
4026,2023-05-12,Home,East,Agent,8352.3,1101.91,3.2,74,0,22.2,0.132
4027,2023-12-27,Life,South,Direct,15669.66,22645.014167655092,3.7,86,1,43.4,1.445
4028,2023-09-01,Health,West,Direct,17963.53,2700.91,4.6,42,0,53.2,0.15
4029,2023-05-03,Travel,East,Direct,12139.14,1046.15,4.3,-60,0,37.7,0.086
4030,2023-10-05,Home,South,Agent,18145.04,4656.01,4.1,94,0,6.9,0.257
4031,2023-11-14,Health,East,Direct,9318.01,2701.93,3.6,87,1,0.8,0.29
4032,2023-04-02,Health,West,Agent,14133.23,2329.14,4.9,-49,1,65.2,0.165
4033,2023-11-18,Auto,North,Agent,12298.54,3735.5,3.5,47,1,24.5,0.304
4034,2023-01-23,Auto,West,Direct,12345.17,3999.67,4.9,-75,0,23.1,0.324
4035,2023-09-18,Auto,West,Partner,27613.58,2406.34,4.9,4,0,11.2,0.087
4036,2023-02-28,Auto,West,Direct,36998.59,8134.18,3.8,45,1,16.7,0.22
4037,2023-08-26,Health,East,Direct,14129.49,2788.5,3.2,6,1,7.6,0.197
4038,2023-02-05,Auto,South,Agent,7237.2,803.47,3.9,-12,0,2.1,0.111
4039,2023-01-31,Life,South,Direct,7741.58,1201.15,4.9,-16,1,16.4,0.155
4040,2023-01-14,Auto,West,Direct,5493.48,466.97,4.1,71,1,32.2,0.085
4041,2023-08-28,Auto,West,Direct,15038.42,1351.84,4.0,-80,0,48.9,0.09
4042,2023-05-05,Travel,West,Partner,9375.18,1636.63,3.5,10,0,12.6,0.175
4043,2023-02-11,Health,West,Agent,13630.49,1652.78,4.9,-36,0,32.5,0.121
4044,2023-02-27,Health,South,Direct,11443.58,1850.62,3.4,-57,1,0.6,0.162
4045,2023-12-22,Travel,North,Direct,9170.21,1584.79,4.1,-65,1,45.6,0.173
4046,2023-05-18,Travel,South,Agent,8757.88,1256.68,5.0,1,0,44.9,0.143
4047,2023-07-06,Life,West,Direct,9443.8,2963.49,4.5,-12,1,9.0,0.314
4048,2023-06-06,Auto,South,Agent,10886.7,448.29,3.4,65,1,21.7,0.041
4049,2023-05-25,Auto,North,Agent,9560.55,919.99,4.5,-96,1,12.9,0.096
4050,2023-01-19,Auto,North,Agent,14986.57,1900.01,3.8,-50,1,49.1,0.127
4051,2023-01-05,Auto,West,Direct,16509.64,2205.8,3.5,-24,0,40.4,0.134
4052,2023-12-29,Travel,South,Direct,6276.16,653.86,4.1,-90,1,45.9,0.104
4053,2023-03-09,Auto,West,Direct,13647.4,4684.61,3.4,48,1,6.4,0.343
4054,2023-01-02,Life,North,Agent,10458.61,2764.0,4.6,-1,0,107.6,0.264
4055,2023-07-06,Life,North,Agent,7175.16,118.26,4.7,79,1,19.2,0.016
4056,2023-08-27,Health,East,Direct,16455.19,3711.19,4.4,92,1,18.6,0.226
4057,2023-07-07,Life,East,Direct,6165.44,1537.57,4.6,28,1,97.6,0.249
4058,2023-03-28,Auto,West,Agent,8123.9,589.55,3.7,-45,1,21.1,0.073
4059,2023-07-10,Auto,South,Direct,20676.04,1156.61,4.7,-32,1,2.4,0.056
4060,2023-04-07,Auto,East,Direct,11952.63,3373.17,5.0,42,0,19.3,0.282
4061,2023-09-04,Travel,West,Direct,13339.8,1302.89,3.0,-25,0,10.0,0.098
4062,2023-07-29,Auto,West,Agent,16329.09,8689.21,4.5,61,1,60.9,0.532
4063,2023-08-14,Auto,East,Direct,15812.46,3026.52,3.7,-72,1,6.2,0.191
4064,2023-04-28,Health,South,Direct,12970.5,1594.59,3.7,-15,1,71.9,0.123
4065,2023-03-01,Home,West,Partner,12531.73,2264.8,3.4,-70,1,47.8,0.181
4066,2023-08-25,Auto,North,Direct,14521.17,841.5,4.4,71,0,9.0,0.058
4067,2023-06-06,Travel,South,Direct,7897.47,2281.41,4.0,-5,1,7.4,0.289
4068,2023-04-22,Auto,West,Partner,9071.99,1005.39,4.6,-55,0,30.8,0.111
4069,2023-04-28,Health,West,Partner,9679.94,2156.37,5.0,1,1,58.7,0.223
4070,2023-07-11,Travel,West,Direct,10334.63,1298.19,4.3,86,1,1.8,0.126
4071,2023-04-30,Auto,South,Partner,13292.93,2374.84,4.2,-66,0,4.7,0.179
4072,2023-04-15,Travel,North,Direct,8559.57,1684.58,3.7,-76,1,5.3,0.197
4073,2023-10-19,Auto,South,Agent,5317.93,975.1,3.6,-90,1,24.1,0.183
4074,2023-01-23,Auto,East,Agent,2377.05,979.18,4.0,-78,1,28.2,0.412
4075,2023-07-07,Health,North,Partner,7964.24,2900.83,4.9,24,1,29.0,0.364
4076,2023-11-13,Auto,East,Partner,11289.26,3180.54,4.0,28,0,21.4,0.282
4077,2023-05-09,Travel,West,Direct,5553.67,1371.08,4.8,6,1,72.3,0.247
4078,2023-03-10,Auto,West,Agent,7183.99,606.98,5.0,-93,0,16.1,0.084
4079,2023-04-17,Home,East,Agent,16653.9,1808.81,4.3,-79,1,12.4,0.109
4080,2023-09-05,Home,North,Direct,6682.56,1137.33,3.4,-5,1,2.1,0.17
4081,2023-05-01,Travel,South,Direct,6479.01,709.86,4.6,-12,1,5.9,0.11
4082,2023-12-22,Auto,West,Direct,18865.42,5190.76,3.6,98,1,11.1,0.275
4083,2023-01-16,Life,South,Agent,12380.01,1329.95,4.6,42,1,20.3,0.107
4084,2023-02-12,Life,South,Direct,8125.61,743.01,4.3,-3,1,29.0,0.091
4085,2023-11-30,Travel,South,Direct,9688.04,4579.52,5.0,-96,1,24.1,0.473
4086,2023-07-18,Life,West,Partner,11298.74,2044.64,3.9,24,1,43.6,0.181
4087,2023-12-20,Auto,North,Agent,6051.53,2269.57,4.7,66,1,2.1,0.375
4088,2023-09-20,Life,North,Partner,14008.05,5233.05,4.6,-76,1,12.8,0.374
4089,2023-01-28,Travel,South,Direct,13731.53,2932.38,3.9,-78,1,29.5,0.214
4090,2023-07-24,Auto,North,Direct,20724.51,9116.49,3.9,28,1,5.8,0.44
4091,2023-06-20,Health,West,Direct,20738.72,7191.93,4.5,97,1,46.5,0.347
4092,2023-09-01,Health,West,Direct,13121.54,2749.7,4.6,43,0,11.9,0.21
4093,2023-02-01,Health,East,Direct,5808.43,9210.500149981022,4.9,46,1,17.9,1.586
4094,2023-02-12,Health,West,Agent,18273.49,1198.1,3.5,12,1,0.8,0.066
4095,2023-09-19,Auto,South,Partner,19003.37,4307.85,3.9,87,0,14.2,0.227
4096,2023-06-19,Travel,South,Direct,26027.89,2366.06,4.1,20,0,12.7,0.091
4097,2023-10-28,Life,West,Agent,15549.79,740.0,4.5,41,1,0.4,0.048
4098,2023-06-12,Life,South,Agent,13828.62,4301.47,4.1,18,0,38.7,0.311
4099,2023-07-08,Auto,West,Partner,13366.43,2505.87,3.7,38,1,5.7,0.187
4100,2023-06-11,Travel,West,Agent,14847.18,1217.17,4.0,30,1,37.5,0.082
4101,2023-09-15,Home,East,Partner,13678.38,4581.36,4.3,-65,1,115.7,0.335
4102,2023-11-22,Travel,West,Agent,13096.83,706.62,3.4,82,0,39.7,0.054
4103,2023-07-06,Home,East,Partner,10815.53,1562.02,3.5,39,1,16.3,0.144
4104,2023-06-10,Auto,North,Direct,9184.51,881.26,3.5,60,1,23.9,0.096
4105,2023-09-21,Life,South,Direct,9592.89,3607.1,3.8,80,0,35.5,0.376
4106,2023-06-14,Travel,West,Direct,5092.45,1248.19,4.4,26,0,10.4,0.245
4107,2023-08-07,Auto,South,Direct,21588.29,4140.05,2.8,-23,0,3.6,0.192
4108,2023-08-15,Auto,West,Direct,11394.73,287.58,2.8,-49,1,15.9,0.025
4109,2023-03-24,Health,North,Direct,11190.33,974.14,4.7,-12,0,41.2,0.087
4110,2023-03-23,Life,West,Direct,1632.62,105.65,4.1,9,1,5.6,0.065
4111,2023-08-03,Home,South,Direct,14988.16,5964.66,3.0,-50,0,77.2,0.398
4112,2023-06-18,Auto,East,Partner,13738.04,2037.03,3.9,62,1,30.5,0.148
4113,2023-10-21,Home,East,Direct,12320.33,3138.12,4.3,-85,0,34.8,0.255
4114,2023-01-07,Home,North,Direct,13250.45,1029.7,3.6,-83,1,23.0,0.078
4115,2023-07-14,Auto,West,Agent,5520.0,786.27,4.0,-41,1,10.4,0.142
4116,2023-07-10,Health,South,Direct,13121.13,3857.79,3.6,-11,0,33.8,0.294
4117,2023-04-26,Health,East,Agent,11338.33,1236.95,3.9,95,1,36.4,0.109
4118,2023-12-14,Home,East,Partner,21760.78,8286.16,3.1,-88,1,28.2,0.381
4119,2023-06-06,Health,North,Direct,19699.73,2296.03,2.2,-48,1,100.1,0.117
4120,2023-02-24,Auto,East,Direct,4090.56,598.39,3.4,12,1,20.9,0.146
4121,2023-05-05,Auto,North,Agent,16208.09,1355.63,3.7,-79,1,12.4,0.084
4122,2023-01-04,Auto,South,Partner,11458.52,5139.14,4.9,19,0,25.8,0.448
4123,2023-07-23,Health,South,Direct,26584.25,2728.67,4.2,-33,1,2.8,0.103
4124,2023-11-26,Auto,West,Direct,13743.01,2621.01,4.3,17,0,27.4,0.191
4125,2023-04-03,Travel,East,Direct,27214.84,5999.43,4.2,43,1,22.0,0.22
4126,2023-04-01,Life,North,Agent,4940.54,1564.54,4.2,-56,1,21.5,0.317
4127,2023-02-13,Travel,West,Partner,11363.25,573.33,3.8,16,0,12.9,0.05
4128,2023-01-10,Auto,North,Partner,3527.09,685.22,5.0,2,1,15.7,0.194
4129,2023-12-16,Life,South,Direct,19716.0,2621.72,4.2,-5,0,17.0,0.133
4130,2023-04-10,Home,West,Agent,10646.64,395.8,3.7,-46,1,1.7,0.037
4131,2023-02-14,Travel,South,Direct,6558.87,295.85,3.8,-71,1,5.1,0.045
4132,2023-12-09,Health,West,Direct,21271.49,5104.77,4.3,-55,1,28.7,0.24
4133,2023-07-25,Life,South,Direct,23697.62,2261.72,3.7,58,1,5.8,0.095
4134,2023-09-08,Auto,West,Direct,13995.96,1529.35,4.6,-7,1,0.6,0.109
4135,2023-09-09,Auto,West,Direct,4200.29,570.62,4.2,1,1,13.1,0.136
4136,2023-10-04,Health,South,Direct,16283.58,5894.54,3.9,-18,0,1.3,0.362
4137,2023-01-03,Life,South,Agent,5848.31,69.98,5.0,-6,0,54.0,0.012
4138,2023-10-06,Auto,South,Direct,9011.54,675.41,4.2,24,1,1.4,0.075
4139,2023-11-08,Life,North,Direct,3050.3,742.05,3.4,16,1,2.4,0.243
4140,2023-08-08,Health,North,Direct,17516.61,5566.25,2.8,10,1,31.8,0.318
4141,2023-12-31,Auto,South,Direct,3195.07,219.43,5.0,36,1,4.8,0.069
4142,2023-05-30,Health,East,Direct,12416.93,1262.17,3.6,-76,1,31.5,0.102
4143,2023-03-29,Travel,South,Agent,11450.82,2675.67,4.1,-29,1,3.2,0.234
4144,2023-08-02,Health,South,Agent,21739.19,4950.76,3.9,0,1,5.7,0.228
4145,2023-04-09,Life,North,Direct,8841.28,1069.23,3.4,-48,1,2.1,0.121
4146,2023-07-08,Home,North,Direct,9661.36,723.22,4.4,40,0,13.6,0.075
4147,2023-09-06,Auto,West,Agent,25028.91,8132.04,4.1,85,1,6.6,0.325
4148,2023-04-09,Auto,East,Direct,13235.48,2053.1,4.1,-76,1,0.3,0.155
4149,2023-08-19,Auto,East,Agent,23547.53,1242.66,4.0,43,1,0.0,0.053
4150,2023-10-02,Health,North,Agent,24055.25,5789.83,3.3,-34,1,3.7,0.241
4151,2023-03-22,Life,East,Direct,18992.82,22264.63796596999,3.8,-15,0,10.8,1.172
4152,2023-10-31,Auto,South,Agent,7030.01,1317.53,3.7,37,0,2.3,0.187
4153,2023-07-18,Travel,North,Agent,11524.47,1375.06,3.7,77,0,37.3,0.119
4154,2023-01-27,Home,North,Direct,12078.34,4538.68,3.7,82,1,65.0,0.376
4155,2023-01-06,Auto,East,Partner,11929.45,1463.3,4.1,47,1,30.9,0.123
4156,2023-03-29,Auto,North,Partner,9533.68,867.7,4.2,69,1,11.8,0.091
4157,2023-07-04,Home,North,Direct,7146.38,1289.32,4.9,-34,0,7.3,0.18
4158,2023-11-14,Health,South,Agent,19659.35,3217.88,4.6,47,1,33.5,0.164
4159,2023-10-17,Health,North,Partner,8349.47,2562.69,5.0,-84,1,7.0,0.307
4160,2023-01-06,Auto,West,Agent,6603.58,559.69,3.4,85,0,20.0,0.085
4161,2023-04-01,Health,North,Direct,7453.19,1558.95,3.5,11,0,17.2,0.209
4162,2023-04-15,Life,South,Agent,9297.1,379.15,3.9,88,1,33.5,0.041
4163,2023-02-10,Life,West,Agent,10515.97,1439.92,4.4,-32,0,80.9,0.137
4164,2023-07-28,Health,East,Direct,8355.93,3135.18,3.7,89,0,7.0,0.375
4165,2023-05-30,Life,North,Partner,6643.22,1770.12,4.4,9,0,41.1,0.266
4166,2023-11-26,Health,West,Direct,7658.63,906.39,4.8,66,1,4.1,0.118
4167,2023-07-04,Life,West,Agent,7978.07,949.07,3.5,76,1,30.4,0.119
4168,2023-03-12,Life,South,Direct,10705.88,2676.17,4.6,-63,1,12.9,0.25
4169,2023-03-21,Travel,West,Direct,20022.69,1971.15,4.1,25,0,45.4,0.098
4170,2023-01-21,Health,West,Partner,11097.21,1470.9,4.5,-98,0,13.5,0.133
4171,2023-05-25,Auto,East,Direct,13540.17,3159.54,4.8,-31,1,2.4,0.233
4172,2023-06-04,Auto,North,Direct,12905.64,2324.88,4.6,64,1,5.4,0.18
4173,2023-06-06,Health,East,Agent,4837.82,743.25,4.7,-98,0,30.0,0.154
4174,2023-08-04,Auto,North,Direct,12037.0,554.32,3.9,60,1,76.4,0.046
4175,2023-07-20,Auto,East,Direct,13029.58,1916.62,4.4,-89,1,21.7,0.147
4176,2023-05-10,Life,West,Direct,12824.07,3006.13,2.9,-36,1,18.5,0.234
4177,2023-10-25,Life,South,Agent,3969.73,1845.63,3.5,60,1,27.3,0.465
4178,2023-04-17,Auto,East,Agent,7720.31,591.49,4.6,-100,1,12.6,0.077
4179,2023-12-04,Health,West,Agent,12707.61,5462.23,5.0,-26,1,76.7,0.43
4180,2023-09-20,Auto,East,Direct,21663.75,1307.31,3.3,12,1,43.5,0.06
4181,2023-11-09,Home,East,Partner,25728.95,6358.21,4.5,-12,1,12.5,0.247
4182,2023-03-05,Home,East,Direct,11685.64,799.68,4.5,21,1,4.9,0.068
4183,2023-04-30,Health,East,Direct,26862.25,3076.5,3.2,-36,0,46.8,0.115
4184,2023-11-27,Health,East,Agent,11209.85,3594.34,3.4,-98,1,5.9,0.321
4185,2023-05-02,Life,South,Direct,14599.91,1681.59,4.4,85,0,5.5,0.115
4186,2023-06-23,Health,East,Agent,21188.87,2808.79,4.1,36,0,4.2,0.133
4187,2023-11-08,Auto,East,Partner,19120.72,929.56,4.0,-17,1,1.3,0.049
4188,2023-05-24,Travel,West,Direct,8612.11,3033.5,3.0,-93,1,8.4,0.352
4189,2023-04-21,Health,South,Direct,9180.58,695.28,3.8,-7,1,23.8,0.076
4190,2023-02-06,Auto,South,Partner,18719.2,3409.43,5.0,97,1,49.8,0.182
4191,2023-08-01,Health,East,Direct,22222.04,6672.17,3.4,-65,0,4.3,0.3
4192,2023-01-02,Auto,South,Direct,9804.67,3637.94,4.2,-57,0,2.8,0.371
4193,2023-10-11,Auto,West,Agent,3749.73,1422.37,4.1,76,1,15.1,0.379
4194,2023-12-01,Life,South,Agent,7364.29,1168.23,4.5,100,0,4.1,0.159
4195,2023-05-29,Home,East,Direct,11475.02,2932.25,4.4,-5,0,1.5,0.256
4196,2023-09-28,Auto,North,Agent,10652.85,152.17,4.0,-13,0,4.5,0.014
4197,2023-04-07,Life,South,Direct,5556.27,893.05,3.1,-76,1,11.7,0.161
4198,2023-06-18,Health,West,Direct,14401.57,5015.83,3.2,-93,1,65.8,0.348
4199,2023-01-15,Health,East,Direct,10205.85,830.58,4.0,-11,1,3.2,0.081
4200,2023-10-28,Travel,North,Agent,8928.18,854.16,4.0,81,1,18.5,0.096
4201,2023-02-05,Life,North,Agent,10659.92,1422.07,3.4,-7,0,32.9,0.133
